,Unnamed: 0,subject,predicate,object,question,context,bool_type,source_type,input,label,contextual_answer,output
502,502,empire state build will,CapableOf,stand forever,"will the empire state building be able to stand forever?
 will the empire state building be able to stand forever?
can empire state build stand forever?"," the empire state building is made of steel.
 the empire state building is a building.",neg,need_edit,will the empire state building be able to stand forever?,503,false,contextual: false
503,503,person,Desires,bad complexion,"do people want to have a bad complexion?
 do people usually desire to have a bad complexion?
does a person want a bad complexion?"," people want to have a good complexion.
 complexion is a type of skin.",neg,need_edit,do people want to have a bad complexion?,504,false,contextual: false
504,504,horse,CapableOf,wear glove,"can horses wear gloves?
 can horses wear gloves?
can a horse wear a glove?"," horses have hooves.
 horses have hooves.",neg,need_edit,can horses wear gloves?,505,false,contextual: false
505,505,waiter,Desires,small tip,"does the waiter want a small tip?
 do waiters usually want a small tip?
does waiter want small tip?"," the waiter served you food.
 waiter is a person who serves food and drinks.",neg,need_edit,does the waiter want a small tip?,506,false,contextual: false
506,506,teenager,Desires,body odor,"do teenagers desire to have body odor?
 do teenagers generally desire to have body odor?
does a teenager want body odor?"," teenagers go through puberty.
 teenagers are humans.",neg,need_edit,do teenagers desire to have body odor?,507,false,contextual: false
507,507,person,Desires,arthritis,"does a person desire arthritis?
 do people usually desire arthritis?
does a person want arthritis?"," arthritis is a disease.
 arthritis is a disease.",neg,need_edit,does a person desire arthritis?,508,false,contextual: false
508,508,person,Desires,fine,"does a person desire to be fine?
 do people usually desire things that are fine?
does a person want a fine?", a person is a human.,neg,need_edit,does a person desire to be fine?,509,false,contextual: false
509,509,do,CapableOf,run with scissor,"can you run with scissors?
 can you do running with scissors?
can i run with a scissor?", you can trip with scissors.,neg,need_edit,can you run with scissors?,510,false,contextual: false
510,510,person,Desires,theft,"do people desire theft?
 do people usually desire theft?
does a person want theft?"," people desire many things.
 theft is the act of stealing.",neg,need_edit,do people desire theft?,511,false,contextual: false
511,511,person,Desires,hip surgery,"does every person desire hip surgery?
 do people usually desire hip surgery?
does a person want hip surgery?"," every person is different.
 some people desire hip surgery.",neg,need_edit,does every person desire hip surgery?,512,false,contextual: false
512,512,alarm clock,Desires,be use as radio,"does an alarm clock want to be used as a radio?
 does an alarm clock usually want to be used as a radio?
does alarm clock want to be used as radio?"," an alarm clock is a device used to wake someone up.
 alarm clocks are used for waking up.",neg,need_edit,does an alarm clock want to be used as a radio?,513,false,contextual: false
513,513,moon of planet,CapableOf,touch planet,"can a moon of a planet touch the planet?
 can a moon of a planet usually touch the planet?
can moon of planet touch planet?"," the moon orbits the planet.
 moons orbit planets.",neg,need_edit,can a moon of a planet touch the planet?,514,false,contextual: false
514,514,person,Desires,bad food,"do people want bad food?
 do people usually desire bad food?
does a person want bad food?"," people want food that tastes good.
 people want good food.",neg,need_edit,do people want bad food?,515,false,contextual: false
515,515,hot dog,IsA,consider gourmet food,"is a hot dog a gourmet food?
 is a hot dog considered gourmet food?
is hot dog a type of considered gourmet food?"," a hot dog is a type of sausage.
 hot dogs are a type of sausage.",neg,need_edit,is a hot dog a gourmet food?,516,false,contextual: false
516,516,person,Desires,hangnail,"does a person want a hangnail?
 do people usually desire to have a hangnail?
does a person want a hangnail?"," a hangnail is a piece of skin that is torn or ripped.
 a hangnail is a painful condition.",neg,need_edit,does a person want a hangnail?,517,false,contextual: false
517,517,person,Desires,feel alone,"do people desire to feel alone?
 do people usually desire to feel alone?
does a person want to feel alone?", people are social animals.,neg,need_edit,do people desire to feel alone?,518,false,contextual: false
518,518,person,Desires,hardship,"do people desire hardship?
 do people generally desire hardship?
does a person want hardship?"," hardship is a type of adversity.
 hardship is a type of suffering.",neg,need_edit,do people desire hardship?,519,false,contextual: false
519,519,plastic,CapableOf,rust,"can plastic rust?
 can plastic rust?
can plastic rust?"," rust is the oxidation of iron.
 plastic is a non-metallic material.",neg,need_edit,can plastic rust?,520,false,contextual: false
520,520,person,Desires,genital wart,"does a person desire a genital wart?
 does a person usually desire to have a genital wart?
does a person want a genital wart?"," genital warts are a type of STD.
 genital warts are a sexually transmitted disease.",neg,need_edit,does a person desire a genital wart?,521,false,contextual: false
521,521,baseball player,Desires,strike out,"does a baseball player want to strike out?
 does a baseball player usually want to strike out?
does a baseball player want to strike out?"," a strikeout occurs when a batter swings and misses at three pitches.
 baseball player wants to win.",neg,need_edit,does a baseball player want to strike out?,522,false,contextual: false
522,522,lie,IsA,good idea,"is lying a good idea?
 is lying a good idea?
is this a type of good idea?", lying is bad.,neg,need_edit,is lying a good idea?,523,false,contextual: false
523,523,steam locomotive,HasProperty,long use,"does a steam locomotive have a long use?
 do steam locomotives have a long use?
does steam locomotive have the property of long use?", a steam locomotive is a locomotive powered by a steam engine.,neg,need_edit,does a steam locomotive have a long use?,524,false,contextual: false
524,524,wild game,Desires,be hunt,"does wild game want to be hunted?
 do wild game animals desire to be hunted?
does wild game want to be hunted?"," wild game is not domesticated.
 wild game is a kind of animal.",neg,need_edit,does wild game want to be hunted?,525,false,contextual: false
525,525,mankind,Desires,volcano,"does mankind desire volcanoes?
 does mankind usually desire volcanoes?
does mankind want a volcano?"," some people find volcanoes to be aesthetically pleasing.
 volcanoes are a natural disaster.",neg,need_edit,does mankind desire volcanoes?,526,false,contextual: false
526,526,kid,Desires,study,"do kids want to study?
 do kids usually desire to study?
does a kid want to study?", kids want to play.,neg,need_edit,do kids want to study?,527,false,contextual: false
527,527,human be,CapableOf,control weather,"can humans control the weather?
 can human beings control the weather?
can humans control weather?", the weather is the state of the atmosphere.,neg,need_edit,can humans control the weather?,528,false,contextual: false
528,528,zoo,IsA,natural habitat of animal,"is a zoo a natural habitat for animals?
 is a zoo a natural habitat of animals?
is a zoo a type of natural habitat for animals?"," animals in zoos are confined to small spaces.
 a zoo is a place where animals are kept.",neg,need_edit,is a zoo a natural habitat for animals?,529,false,contextual: false
529,529,person,Desires,stand in long queue,"does a person desire to stand in a long queue?
 do people usually desire to stand in long queues?
does a person want to stand in a long queue?"," people generally don't like standing in long queues.
 people hate to stand in a long queue.",neg,need_edit,does a person desire to stand in a long queue?,530,false,contextual: false
530,530,person,Desires,be think of as stupid,"does a person want to be thought of as stupid?
 do people usually desire to be thought of as stupid?
does a person want to be thought of as stupid?"," a person wants to be thought of as smart.
 people are animals.",neg,need_edit,does a person want to be thought of as stupid?,531,false,contextual: false
531,531,helen unger-clark,CapableOf,sleep for 186 straight hour,"can helen unger-clark sleep for 186 straight hours?
 is it possible for Helen Unger-Clark to sleep for 186 hours straight?
can helen unger-clark sleep for 186 straight hours?"," the world record for the longest time without sleep is 264 hours.
 helen unger-clark is a woman.",neg,need_edit,can helen unger-clark sleep for 186 straight hours?,532,false,contextual: false
532,532,workaholic,Desires,go home,"do workaholics want to go home?
 do workaholics generally desire to go home?
does a workaholic want to go home?", workaholics are addicted to work.,neg,need_edit,do workaholics want to go home?,533,false,contextual: false
533,533,person,Desires,have car accident,"does every person desire to have a car accident?
 does a person ever desire to have a car accident?
does a person want to have a car accident?"," car accidents are the leading cause of death for young adults.
 people desire to have a car.",neg,need_edit,does every person desire to have a car accident?,534,false,contextual: false
534,534,fortune cookie fortune,HasProperty,right,"do all fortune cookie fortunes have the property of being right?
 do fortune cookie fortunes usually turn out to be right?
does fortune cookie fortune have the right property?"," a fortune cookie is a cookie with a paper slip inside with a fortune written on it.
 fortune cookie fortunes are predictions.",neg,need_edit,do all fortune cookie fortunes have the property of being right?,535,false,contextual: false
535,535,ant,CapableOf,eat telephone,"can ants eat telephones?
 can ants eat telephones?
can ant eat telephone?"," ants are attracted to sugar.
 ants are insects.",neg,need_edit,can ants eat telephones?,536,false,contextual: false
536,536,person,Desires,be thirsty,"do people desire to be thirsty?
 do people usually want to be thirsty?
does a person want to be thirsty?"," people need to drink water to survive.
 people desire to be hydrated.",neg,need_edit,do people desire to be thirsty?,537,false,contextual: false
537,537,person,CapableOf,drink salt water,"can people drink salt water?
 can people drink salt water?
can a person drink salt water?"," salt water is water that has salt in it.
 salt water is water that contains a high concentration of salt.",neg,need_edit,can people drink salt water?,538,false,contextual: false
538,538,person,Desires,be despise,"does a person want to be despised?
 do people usually desire to be despised?
does a person want to be despise?"," most people want to be respected.
 people want to be loved.",neg,need_edit,does a person want to be despised?,539,false,contextual: false
539,539,kitten,Desires,be eat by owl,"does a kitten want to be eaten by an owl?
 do kittens want to be eaten by owls?
does a kitten want to eat an owl?"," kittens are small cats.
 a kitten is a type of cat.",neg,need_edit,does a kitten want to be eaten by an owl?,540,false,contextual: false
540,540,person,Desires,hear another person boast,"does a person ever desire to hear another person boast?
 do people generally desire to hear another person boast?
does a person want to hear another person boast?"," people generally don't like when others boast.
 people like to hear about other people's accomplishments.",neg,need_edit,does a person ever desire to hear another person boast?,541,false,contextual: false
541,541,person,Desires,be heavily inebriate,"does a person want to be heavily inebriated?
 do people usually want to be heavily drunk?
does a person want to be heavily inebriated?"," alcohol is a depressant.
 inebriated means drunk.",neg,need_edit,does a person want to be heavily inebriated?,542,false,contextual: false
542,542,person,Desires,break back,"does a person want to break their back?
 do people usually desire to break their back?
does a person want to break back?"," a person wants to break their leg.
 a person wants to break their leg.",neg,need_edit,does a person want to break their back?,543,false,contextual: false
543,543,cat,Desires,die,"does a cat want to die?
 do cats generally desire to die?
does cat want to die?"," a cat has nine lives.
 a cat is a type of animal.",neg,need_edit,does a cat want to die?,544,false,contextual: false
544,544,outhouse,CapableOf,use toilet plunger,"can you use a toilet plunger in an outhouse?
 can an outhouse be used with a toilet plunger?
can outhouse use toilet plunger?", a toilet plunger is used to unclog a toilet.,neg,need_edit,can you use a toilet plunger in an outhouse?,545,false,contextual: false
545,545,person,Desires,grow old and infirm,"do people want to grow old and infirm?
 do people generally desire to grow old and infirm?
does a person want to grow old and infirm?"," people want to live forever.
 people want to be healthy.",neg,need_edit,do people want to grow old and infirm?,546,false,contextual: false
546,546,person,Desires,third degree burn,"does a person want a third degree burn?
 does a person usually desire a third degree burn?
does a person want a third degree burn?"," third degree burns are the most serious.
 a third degree burn is a burn that goes through the skin.",neg,need_edit,does a person want a third degree burn?,547,false,contextual: false
547,547,person,Desires,sneeze,"does a person desire to sneeze?
 do people usually desire to sneeze?
does a person want to sneeze?", sneezing is a reflex.,neg,need_edit,does a person desire to sneeze?,548,false,contextual: false
548,548,fish,Desires,getcaught and eat,"do fish want to get caught and eaten?
 do fish usually want to get caught and eaten?
do fish want to get caught and eat?"," fish are not intelligent enough to understand the concept of being caught and eaten.
 fish are afraid of humans.",neg,need_edit,do fish want to get caught and eaten?,549,false,contextual: false
549,549,pianist,Desires,break wrist,"does a pianist want to break their wrist?
 do pianists generally desire to break their wrists?
does pianist want to break wrist?"," pianists use their wrists a lot when playing.
 pianists need their wrists to play the piano.",neg,need_edit,does a pianist want to break their wrist?,550,false,contextual: false
550,550,person,Desires,see frown of disapproval,"does a person want to see a frown of disapproval?
 do people usually want to see a frown of disapproval?
does person want to see a frown of disapproval?"," a frown is an expression of disapproval.
 a frown of disapproval is a frown.",neg,need_edit,does a person want to see a frown of disapproval?,551,false,contextual: false
551,551,pet,Desires,be in surgery,"does a pet want to be in surgery?
 do pets usually desire to be in surgery?
does pet want surgery?"," pets are not typically fond of going to the vet.
 pets are animals.",neg,need_edit,does a pet want to be in surgery?,552,false,contextual: false
552,552,person,Desires,be unfulfilled,"do people desire to be unfulfilled?
 do people usually want to be unfulfilled?
does a person want to be unfulfilled?", people desire to be fulfilled.,neg,need_edit,do people desire to be unfulfilled?,553,false,contextual: false
553,553,animal,CapableOf,speak in human language,"can animals speak in human language?
 can animals speak in human language?
can an animal speak human language?"," some animals can mimic human speech.
 human is a type of animal.",neg,need_edit,can animals speak in human language?,554,false,contextual: false
554,554,computer virus,HasProperty,live,"does a computer virus have the property of being alive?
 do computer viruses generally have the property of being alive?
does computer virus have the property of live?"," viruses are not considered to be alive.
 a computer virus is a type of software.",neg,need_edit,does a computer virus have the property of being alive?,555,false,contextual: false
555,555,school bus,HasA,seat safety belt,"does a school bus have a seat safety belt?
 do school buses have seat safety belts?
does school bus have seat safety belt?"," school buses are not required to have seat belts.
 school buses are not required to have seat safety belts.",neg,need_edit,does a school bus have a seat safety belt?,556,false,contextual: false
556,556,person,Desires,bee inferior,"does a person want to be inferior?
 do people usually want to be inferior to bees?
does a person want to be inferior?"," most people want to feel superior.
 people usually want to be superior.",neg,need_edit,does a person want to be inferior?,557,false,contextual: false
557,557,person,Desires,little money,"do people desire little money?
 do people usually desire having little money?
does a person want little money?"," people desire money.
 people desire money.",neg,need_edit,do people desire little money?,558,false,contextual: false
558,558,cat,Desires,take bath,"do cats want to take baths?
 do cats generally desire to take baths?
does cat want to take bath?"," cats are often afraid of water.
 cats are animals.",neg,need_edit,do cats want to take baths?,559,false,contextual: false
559,559,object,IsA,full circle,"is an object a full circle?
 is an object usually a full circle?
is object a type of full circle?"," a circle is a two-dimensional object.
 an object is a thing.",neg,need_edit,is an object a full circle?,560,false,contextual: false
560,560,animal,CapableOf,move in photograph,"can animals move in photographs?
 can animals move in photographs?
can an animal move in a photograph?"," animals can move in real life.
 animals can move in real life.",neg,need_edit,can animals move in photographs?,561,false,contextual: false
561,561,lesbian,Desires,make love to men,"do lesbians desire to make love to men?
 do lesbians generally desire to make love to men?
does lesbian want to make love to men?"," lesbians are attracted to women.
 lesbians are women who are attracted to other women.",neg,need_edit,do lesbians desire to make love to men?,562,false,contextual: false
562,562,person,Desires,be humilliated,"does a person want to be humiliated?
 do people usually desire to be humiliated?
does a person want to be humiliated?"," humiliation is a form of punishment.
 a person is a human.",neg,need_edit,does a person want to be humiliated?,563,false,contextual: false
563,563,you,Desires,kill human,"do you want to kill humans?
 do you desire to kill a human?
do you want to kill humans?"," some animals are killed for their fur.
 humans are animals.",neg,need_edit,do you want to kill humans?,564,false,contextual: false
564,564,bird,HasA,tooth,"does a bird have a tooth?
 do birds have teeth?
does the bird have a tooth?"," a bird's beak is covered in a thin layer of keratin.
 a bird is an animal.",neg,need_edit,does a bird have a tooth?,565,false,contextual: false
565,565,person,Desires,inconvenience,"does a person want to be inconvenienced?
 do people usually desire inconvenience?
does a person want inconvenience?"," people generally prefer convenience.
 person is a type of human.",neg,need_edit,does a person want to be inconvenienced?,566,false,contextual: false
566,566,human will,Desires,be control by computer,"will humans be controlled by computers?
 do humans usually desire to be controlled by computers?
does human want to be controlled by computer?"," humans use computers.
 humans are the only extant members of the subtribe Hominina.",neg,need_edit,will humans be controlled by computers?,567,false,contextual: false
567,567,person,Desires,be snub,"does a person want to be snubbed?
 do people usually want to be snubbed?
does a person want to be snubbed?"," a snub is an act of rudeness or contempt.
 a person wants to be respected.",neg,need_edit,does a person want to be snubbed?,568,false,contextual: false
568,568,rat,Desires,drown,"does a rat want to drown?
 does a rat typically want to drown?
does a rat want to drown?", a rat can swim.,neg,need_edit,does a rat want to drown?,569,false,contextual: false
569,569,sunlight,CapableOf,pass through wall,"can sunlight pass through walls?
 can sunlight pass through walls?
can sunlight pass through a wall?"," sunlight is made of photons.
 sunlight can pass through glass.",neg,need_edit,can sunlight pass through walls?,570,false,contextual: false
570,570,person,Desires,lose confidence,"do people want to lose confidence?
 do people usually want to lose confidence?
does a person want to lose confidence?"," confidence is the state of feeling certain about your abilities or having trust in someone or something.
 confidence is a feeling of self-assurance arising from one's appreciation of one's own abilities or qualities.",neg,need_edit,do people want to lose confidence?,571,false,contextual: false
571,571,drink and drive,CapableOf,mix,"can you drink and drive?
 can you drink and drive at the same time?
can i drink and drive mix?"," alcohol impairs your ability to drive.
 drinking and driving is illegal.",neg,need_edit,can you drink and drive?,572,false,contextual: false
572,572,person,Desires,be unsuccessful,"does every person desire to be unsuccessful?
 does every person desire to be unsuccessful?
does a person want to be unsuccessful?"," some people are content with mediocrity.
 people usually desire to be successful.",neg,need_edit,does every person desire to be unsuccessful?,573,false,contextual: false
573,573,person,Desires,unkempt look,"does a person desire an unkempt look?
 do most people desire an unkempt look?
does person want unkempt look?"," some people think unkempt hair is attractive.
 a person desires to look good.",neg,need_edit,does a person desire an unkempt look?,574,false,contextual: false
574,574,person,Desires,disgrace,"does a person want disgrace?
 do people generally desire disgrace?
does a person want disgrace?"," disgrace is the state of being held in low esteem.
 a person wants honor.",neg,need_edit,does a person want disgrace?,575,false,contextual: false
575,575,drunkard,Desires,be sober,"does a drunkard want to be sober?
 do drunkards generally want to be sober?
does drunkard want to be sober?", a drunkard is a person who drinks alcohol excessively.,neg,need_edit,does a drunkard want to be sober?,576,false,contextual: false
576,576,grad student,Desires,professor around,"do grad students want professors around?
 do most grad students want their professors around?
does a grad student want a professor around?", graduate students are enrolled in a university or college.,neg,need_edit,do grad students want professors around?,577,false,contextual: false
577,577,animal,CapableOf,need shoe,"do animals need shoes?
 do animals usually need shoes?
can an animal need a shoe?"," animals have fur.
 animals have feet.",neg,need_edit,do animals need shoes?,578,false,contextual: false
578,578,man,MadeOf,steel,"is a man made of steel?
 are men usually made of steel?
is man made of steel?"," man is made of flesh and bone.
 man is a type of human.",neg,need_edit,is a man made of steel?,579,false,contextual: false
579,579,person,Desires,loose friend,"does a person want to have a loose friend?
 do people usually desire to have a loose friend?
does a person want a loose friend?"," a person wants to have a close friend.
 a person wants to have a friend.",neg,need_edit,does a person want to have a loose friend?,580,false,contextual: false
580,580,dentist,Desires,patient with bad breath,"does the dentist want a patient with bad breath?
 do dentists usually want patients with bad breath?
does a dentist want a patient with bad breath?"," the dentist is a medical professional.
 dentist is a person who treats teeth.",neg,need_edit,does the dentist want a patient with bad breath?,581,false,contextual: false
581,581,cat,Desires,go in dirty litter box,"does a cat want to go in a dirty litter box?
 do cats desire to go in dirty litter boxes?
does cat want to go in dirty litter box?"," cats are clean animals.
 cats are clean animals.",neg,need_edit,does a cat want to go in a dirty litter box?,582,false,contextual: false
582,582,human be,HasProperty,good to enforce peace,"do human beings have the property of being good at enforcing peace?
 is it good for humans to enforce peace?
does human being have the property of good to enforce peace?", human beings have the property of being good at making war.,neg,need_edit,do human beings have the property of being good at enforcing peace?,583,false,contextual: false
583,583,bubble in ice,CapableOf,move,"can a bubble in ice move?
 can a bubble in ice move?
can bubbles in ice move?", ice is a kind of solid.,neg,need_edit,can a bubble in ice move?,584,false,contextual: false
584,584,pocket size notebook,CapableOf,weigh very much,"can a pocket size notebook weigh a lot?
 can a pocket size notebook weigh very much?
can pocket size notebook weigh very much?", a pocket size notebook is small.,neg,need_edit,can a pocket size notebook weigh a lot?,585,false,contextual: false
585,585,person,Desires,wooden leg,"does a person desire a wooden leg?
 does every person desire a wooden leg?
does person want wooden leg?", a wooden leg is a type of prosthesis.,neg,need_edit,does a person desire a wooden leg?,586,false,contextual: false
586,586,person,Desires,family member to die,"does a person ever desire for a family member to die?
 do people usually desire for a family member to die?
does a person want a family member to die?"," some people are capable of feeling love.
 people love their family.",neg,need_edit,does a person ever desire for a family member to die?,587,false,contextual: false
587,587,goth,Desires,tan,"does a goth want to tan?
 do goths generally desire to tan?
does goth want a tan?"," goths are people who dress in black.
 goth is a person who wears black clothes.",neg,need_edit,does a goth want to tan?,588,false,contextual: false
588,588,fish,CapableOf,talk,"can fish talk?
 can fish talk?
can fish talk?"," fish have gills.
 fish live in water.",neg,need_edit,can fish talk?,589,false,contextual: false
589,589,baby,CapableOf,climb tree,"can babies climb trees?
 can babies usually climb trees?
can a baby climb a tree?"," babies are human beings.
 babies are humans.",neg,need_edit,can babies climb trees?,590,false,contextual: false
590,590,person,Desires,be exclude,"does a person want to be excluded?
 do people generally desire to be excluded?
does a person want to be excluded?"," some people feel excluded when they are not invited to a party.
 a person wants to be included.",neg,need_edit,does a person want to be excluded?,591,false,contextual: false
591,591,person,Desires,malice,"do people desire malice?
 do people usually desire malice?
does a person want malice?", people desire happiness.,neg,need_edit,do people desire malice?,592,false,contextual: false
592,592,city,Desires,pollution,"does a city want pollution?
 does a city desire pollution?
does the city want pollution?"," pollution is the release of harmful substances into the environment.
 a city is a large human settlement.",neg,need_edit,does a city want pollution?,593,false,contextual: false
593,593,person,Desires,lose control,"does every person desire to lose control?
 do people usually want to lose control?
does a person want to lose control?"," some people desire to lose control.
 people desire to control.",neg,need_edit,does every person desire to lose control?,594,false,contextual: false
594,594,sushi,HasProperty,cook,"does sushi have to be cooked?
 does sushi have to be cooked?
does sushi have the property of a cook?"," sushi is a Japanese dish.
 sushi is a Japanese dish.",neg,need_edit,does sushi have to be cooked?,595,false,contextual: false
595,595,good person,Desires,cheat,"do good people want to cheat?
 do good people usually want to cheat?
does a good person want to cheat?"," good people are honest.
 good people want to be honest.",neg,need_edit,do good people want to cheat?,596,false,contextual: false
596,596,person,Desires,be put in jail,"does a person desire to be put in jail?
 do people generally desire to be put in jail?
does a person want to be put in jail?"," some people commit crimes so they can go to jail.
 people want to be free.",neg,need_edit,does a person desire to be put in jail?,597,false,contextual: false
597,597,wind,CapableOf,pass through solid object like cloth,"can wind pass through a solid object like cloth?
 can wind pass through a solid object like cloth?
can wind pass through solid object like cloth?", wind is made up of moving air.,neg,need_edit,can wind pass through a solid object like cloth?,598,false,contextual: false
598,598,person,Desires,papercut,"does a person want a papercut?
 does anyone ever desire a papercut?
does a person want paper cut?"," papercuts are painful.
 papercuts are painful.",neg,need_edit,does a person want a papercut?,599,false,contextual: false
599,599,person,Desires,fall from high place,"does a person ever desire to fall from a high place?
 do people usually desire to fall from high places?
does a person want to fall from a high place?"," some people have a fear of heights.
 a person desires to fly.",neg,need_edit,does a person ever desire to fall from a high place?,600,false,contextual: false
600,600,person,Desires,be treat like commodity,"does every person want to be treated like a commodity?
 do people usually want to be treated like commodities?
does a person want to be treated like a commodity?"," some people are treated like commodities.
 people want to be treated like a human.",neg,need_edit,does every person want to be treated like a commodity?,601,false,contextual: false
601,601,tiger,Desires,vegetable,"does a tiger want to eat vegetables?
 does a tiger usually want to eat vegetables?
does tiger want vegetable?"," tigers are carnivores.
 tigers are carnivores.",neg,need_edit,does a tiger want to eat vegetables?,602,false,contextual: false
602,602,vampire,HasProperty,real,"do vampires exist?
 do vampires have the property of being real?
does vampire have the property of real?"," vampires are mythical creatures.
 vampires are mythical beings.",neg,need_edit,do vampires exist?,603,false,contextual: false
603,603,person,Desires,feel sad,"do people desire to feel sad?
 do people usually want to feel sad?
does a person want to feel sad?"," sadness is a human emotion.
 people desire to feel happy.",neg,need_edit,do people desire to feel sad?,604,false,contextual: false
604,604,hero,Desires,get old,"does a hero want to get old?
 do heroes ever want to get old?
does hero want to get old?"," a hero is a kind of person.
 a hero is a kind of person.",neg,need_edit,does a hero want to get old?,605,false,contextual: false
605,605,person,Desires,out of date food,"does a person want out of date food?
 do people generally desire out of date food?
does a person want out of date food?"," people want fresh food.
 a person wants food.",neg,need_edit,does a person want out of date food?,606,false,contextual: false
606,606,butterfly,Desires,be catch in net,"does a butterfly want to be caught in a net?
 do butterflies want to be caught in nets?
does butterfly want to be caught in net?"," a butterfly is a type of insect.
 butterfly is an insect.",neg,need_edit,does a butterfly want to be caught in a net?,607,false,contextual: false
607,607,old television,HasA,channel change remotely,"can you change the channel on an old television remotely?
 can you change the channel on an old television remotely?
does old television have channel change remotely?"," you need a remote to change the channel on a television.
 old televisions don't have remote controls.",neg,need_edit,can you change the channel on an old television remotely?,608,false,contextual: false
608,608,ball will,CapableOf,fly for ever due to gravity,"will a ball fly forever due to gravity?
 will a ball fly forever due to gravity?
can ball fly for ever due to gravity?"," gravity is the force by which a planet or other body draws objects toward its center.
 gravity is a force that pulls objects towards each other.",neg,need_edit,will a ball fly forever due to gravity?,609,false,contextual: false
609,609,watch tv,IsA,good thing,"is watching tv a good thing?
 is watching tv a good thing?
is watching tv a good thing?", watching tv is a waste of time.,neg,need_edit,is watching tv a good thing?,610,false,contextual: false
610,610,person,Desires,get burn,"does a person want to get a burn?
 do people usually desire to get burned?
does a person want to get burned?"," burns are painful.
 a person wants to get a tan.",neg,need_edit,does a person want to get a burn?,611,false,contextual: false
611,611,person,Desires,work on sunday,"do people want to work on Sundays?
 do people usually desire to work on Sundays?
does a person want to work on sunday?"," many stores are closed on Sundays.
 people are humans.",neg,need_edit,do people want to work on Sundays?,612,false,contextual: false
612,612,santa claus,IsA,real person,"is santa claus a real person?
 is Santa Claus a real person?
is santa claus a real person?"," santa claus is a fictional character.
 santa claus is a fictional character.",neg,need_edit,is santa claus a real person?,613,false,contextual: false
613,613,baby,CapableOf,drive car,"can babies drive cars?
 can babies drive cars?
can a baby drive a car?"," babies are human.
 babies are humans.",neg,need_edit,can babies drive cars?,614,false,contextual: false
614,614,pet,Desires,be discard,"does a pet want to be discarded?
 do pets usually desire to be discarded?
does pet want to be discarded?"," pets are a type of animal.
 a pet is a kind of animal.",neg,need_edit,does a pet want to be discarded?,615,false,contextual: false
615,615,president,Desires,ramble criticism,"does the president want to ramble criticism?
 does the president generally desire to ramble in criticism?
does the president want rambling criticism?", the president is a man.,neg,need_edit,does the president want to ramble criticism?,616,false,contextual: false
616,616,person,Desires,be lay off,"does a person ever desire to be laid off?
 does a person usually desire to be laid off?
does a person want to be laid off?", people often fear being laid off.,neg,need_edit,does a person ever desire to be laid off?,617,false,contextual: false
617,617,vegetarian,Desires,meat,"do vegetarians want meat?
 do vegetarians usually desire meat?
does vegetarian want meat?"," vegetarians do not eat meat.
 vegetarians don't eat meat.",neg,need_edit,do vegetarians want meat?,618,false,contextual: false
618,618,person,Desires,eat brussel sprout for every meal,"does every person desire to eat brussel sprouts for every meal?
 do people usually desire to eat brussel sprouts for every meal?
does a person want to eat brussel sprouts for every meal?"," some people do not like the taste of brussel sprouts.
 brussel sprouts are a vegetable.",neg,need_edit,does every person desire to eat brussel sprouts for every meal?,619,false,contextual: false
619,619,person,Desires,pimple,"does a person desire a pimple?
 does anyone ever desire to have a pimple?
does a person want a pimple?"," pimples are a type of acne.
 a pimple is a small pustule or papule.",neg,need_edit,does a person desire a pimple?,620,false,contextual: false
620,620,red indian,IsA,india,"is a red indian from India?
 is a red indian from India?
is red indian a type of india?"," the red indians are the native americans.
 red indian is a native american.",neg,need_edit,is a red indian from India?,621,false,contextual: false
621,621,person,Desires,be threaten,"does a person want to be threatened?
 do people usually desire to be threatened?
does a person want to be threatened?"," people usually don't want to be threatened.
 people want to be safe.",neg,need_edit,does a person want to be threatened?,622,false,contextual: false
622,622,taxpayer,Desires,get audit,"do taxpayers want to get audited?
 do taxpayers usually desire to get audits?
does taxpayer want to get audited?"," audits are conducted to ensure accuracy of tax returns.
 taxpayers are people who pay taxes.",neg,need_edit,do taxpayers want to get audited?,623,false,contextual: false
623,623,person,Desires,work on weekend,"do people want to work on weekends?
 do people usually want to work on weekends?
does a person want to work on weekends?"," most people have weekends off from work.
 people want to work on weekdays.",neg,need_edit,do people want to work on weekends?,624,false,contextual: false
624,624,dog,Desires,be abandon,"does a dog want to be abandoned?
 do dogs usually want to be abandoned?
does a dog want to be abandoned?"," dogs are loyal animals.
 dogs are animals.",neg,need_edit,does a dog want to be abandoned?,625,false,contextual: false
625,625,person,CapableOf,stand in line for pepper,"can people stand in line for pepper?
 can a person stand in line for pepper?
can a person stand in line for pepper?", pepper is a kind of spice.,neg,need_edit,can people stand in line for pepper?,626,false,contextual: false
626,626,termite,CapableOf,eat brick,"can termites eat bricks?
 can termites eat bricks?
can termites eat brick?"," termites are attracted to wood.
 termites eat wood.",neg,need_edit,can termites eat bricks?,627,false,contextual: false
627,627,person,Desires,be deceive,"do people want to be deceived?
 do people generally want to be deceived?
does a person want to be deceived?"," people want to be honest.
 people want to be honest.",neg,need_edit,do people want to be deceived?,628,false,contextual: false
